study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tiger,,0,0,0,1,,,,,12.06246391700006,12.06246391700006,1.008888888888889,2.350746875000368,,,,,,,,,,,,,,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
cushion,,0,1,1,3,,,,,14.263098874999741,14.263098874999741,1.008888888888889,2.062957749999896,,,,,,,,,,,,,,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
piano,,0,2,2,4,,,,,16.34662791699975,16.34662791699975,1.008888888888889,1.0304959170002803,,,,,,,,,,,,,,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
book,,0,3,3,2,,,,,17.39674624999998,17.39674624999998,1.008888888888889,1.2146278749996782,,,,,,,,,,,,,,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
vase,,0,4,4,0,,,,,18.630055749999883,18.630055749999883,1.008888888888889,1.5142503750003016,,,,,,,,,,,,,,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,_a_e,,,,,0,0,0,0,,,,,20.169137791999674,20.169137791999674,20.169137791999674,0.007194791000074474,vase,[0.07],[-0.3022222222222222],[1],[0],[0],[3.7096129999999903],['text_3'],,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,o_a_n_e,,,,,0,1,1,9,,,,,23.880240457999662,23.880240457999662,23.880240457999662,0.0019722919996638666,orange,[0.006666666666666667],[-0.3055555555555556],[1],[0],[0],[5.646592208000129],['text_3'],,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,_ia_n_,,,,,0,2,2,4,,,,,29.530567916999644,29.530567916999644,29.530567916999644,0.001927208999859431,piano,[0.006666666666666667],[-0.3055555555555556],[1],[0],[0],[3.1647096249998867],['text_3'],,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,_p_a_d_,,,,,0,3,3,7,,,,,32.69677841699968,32.69677841699968,32.69677841699968,0.0029376249999586435,,[0.006666666666666667],[-0.3055555555555556],[1],[0],[0],[6.446387375000086],['text_3'],,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,c_s_h_o_n,,,,,0,4,4,3,,,,,39.147308166999665,39.147308166999665,39.147308166999665,0.0023287919998438156,cushion,[-0.03777777777777778],[-0.31],[1],[0],[0],[4.847048374999758],['text_3'],,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,c_m_r_,,,,,0,5,5,6,,,,,43.99720712499993,43.99720712499993,43.99720712499993,0.002301707999777136,,[],[],[],[],[],[],[],53.99755495799991,53.99755495799991,53.99755495799991,9.997972624999875,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,_ea_o_,,,,,0,6,6,5,,,,,53.99755495799991,53.99755495799991,53.99755495799991,0.001371500000004744,,[],[],[],[],[],[],[],63.99831462499969,63.99831462499969,63.99831462499969,9.998790499999814,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,_oo_,,,,,0,7,7,2,,,,,63.99831462499969,63.99831462499969,63.99831462499969,0.0015714999999545398,book,[-0.03777777777777778],[-0.31],[1],[0],[0],[2.797657000000072],['text_3'],,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,t_g_r,,,,,0,8,8,1,,,,,66.79805862499961,66.79805862499961,66.79805862499961,0.002179582999815466,tiger,[-0.03777777777777778],[-0.31],[1],[0],[0],[2.530574957999761],['text_3'],,,,,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
,_o_s_,,,,,0,9,9,8,,,,,69.33122316699973,69.33122316699973,69.33122316699973,0.0021601250000458094,,[],[],[],[],[],[],[],79.33121725000001,79.33121725000001,79.33121725000001,9.998290084000018,tanmayi,001,2022-10-14_11h41.24.106,lab tut.5,2022.2.4,59.59824844577136,
